QualifyingAreaName,TotalPopulation,Male,Female,WhitePopulation,White_Male,White_Female,FreeColoredPopulation,FreeColored_Male,FreeColored_Female,SlavePopulation,Slave_Male,Slave_Female,FreePersons,FreePersons_White,FreePersons_White_Male,FreePersons_White_Female,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Male,FreePersons_ColoredPersons_Female,SlavePopulation_Male,SlavePopulation_Female,DisabledWhite,DisabledWhite_DeafandDumb,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPublicCharge,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinMining,PersonsEmployedinAgriculture,PersonsEmployedinCommerce,PersonsEmployedinManufacturingTrade,PersonsEmployedinOceanNavigation,PersonsEmployedinLandNavigation,PersonsEmployedEngineersProfessional,PensionersofRevolutionaryWarorMilitaryService,CollegeUniversityStudents,AcademyGrammarSchoolStudents,PrimaryCommonSchoolStudents,StudentsatPublicCharge,IlliterateWhiteAge20andOver,LiterateWhiteAge20andOver,NumberofPersonsEmployedinPrintingBinding
"Autauga County, Alabama",14342,7263,7079,6217,3230,2987,16,10,6,8109,4023,4086,6233,6217,3230,2987,16,10,6,4023,4086,14,1,9,3,6,0,5439,3,193,1,6,47,3,0,50,548,1,73,2357,0
"Baldwin County, Alabama",2951,1620,1331,1161,640,521,83,50,33,1707,930,777,1244,1161,640,521,83,50,33,930,777,2,0,1,0,1,0,513,10,213,0,0,8,0,0,0,110,0,0,556,0
"Barbour County, Alabama",12024,6125,5899,6469,3415,3054,7,4,3,5548,2706,2842,6476,6469,3415,3054,7,4,3,2706,2842,6,5,0,0,0,0,4558,94,144,1,1,40,1,0,206,347,1,562,2010,7
"Benton County, Alabama",14260,7269,6991,11360,5851,5509,6,5,1,2894,1413,1481,11366,11360,5851,5509,6,5,1,1413,1481,32,7,20,2,18,13,3579,50,287,0,0,0,12,0,180,1076,422,310,3996,4
"Bibb County, Alabama",8284,4246,4038,6256,3253,3003,5,2,3,2023,991,1032,6261,6256,3253,3003,5,2,3,991,1032,2,2,5,1,4,0,2141,18,147,0,0,7,4,0,0,350,168,991,1333,0
"Blount County, Alabama",5570,2797,2773,5225,2644,2581,1,1,0,344,152,192,5226,5225,2644,2581,1,1,0,152,192,5,2,3,1,2,0,1444,5,17,0,0,3,5,0,0,154,0,463,1352,0
"Butler County, Alabama",8685,4391,4294,6192,3177,3015,23,13,10,2470,1201,1269,6215,6192,3177,3015,23,13,10,1201,1269,13,1,10,2,8,0,2631,26,121,0,0,33,3,0,236,202,31,767,1493,0
"Chambers County, Alabama",17333,8823,8510,10188,5262,4926,4,4,0,7141,3557,3584,10192,10188,5262,4926,4,4,0,3557,3584,10,1,15,0,15,0,4988,55,253,0,0,79,5,0,427,680,0,29,3755,0
"Cherokee County, Alabama",8773,4449,4324,7652,3935,3717,9,2,7,1112,512,600,7661,7652,3935,3717,9,2,7,512,600,17,9,5,1,4,0,2199,12,83,2,0,26,3,0,0,52,0,1001,1830,0
"Clarke County, Alabama",8640,4495,4145,4228,2236,1992,17,12,5,4395,2247,2148,4245,4228,2236,1992,17,12,5,2247,2148,12,3,7,0,7,0,3217,37,122,0,8,39,5,0,136,216,0,341,1322,0
"Conecuh County, Alabama",8197,4184,4013,4376,2275,2101,4,3,1,3817,1906,1911,4380,4376,2275,2101,4,3,1,1906,1911,8,2,9,2,7,0,1686,22,84,0,0,36,0,0,146,151,0,384,1291,0
"Coosa County, Alabama",6995,3632,3363,4858,2580,2278,12,7,5,2125,1045,1080,4870,4858,2580,2278,12,7,5,1045,1080,11,3,3,1,2,0,2183,58,272,0,1,38,3,0,60,110,0,310,1588,4
"Covington County, Alabama",2435,1269,1166,2055,1068,987,9,3,6,371,198,173,2064,2055,1068,987,9,3,6,198,173,7,1,4,0,4,0,675,0,0,0,0,0,2,0,0,59,0,347,377,0
"Dale County, Alabama",7397,3800,3597,6809,3530,3279,8,4,4,580,266,314,6817,6809,3530,3279,8,4,4,266,314,23,2,19,1,18,0,63,0,1,0,0,1,3,0,0,71,16,808,1607,0
"Dallas County, Alabama",25199,12892,12307,7922,4265,3657,69,37,32,17208,8590,8618,7991,7922,4265,3657,69,37,32,8590,8618,36,14,26,1,25,0,10906,105,318,0,0,84,2,0,189,195,0,330,3165,5
